id;Title;Promo image url;User uid;Body
1;Commerce AutoSKU 8.x-2.0-beta1 released;https://cdn.pixabay.com/photo/2014/07/27/09/42/e-commerce-402822_960_720.jpg;1;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
2;Интервью с участниками DrupalCamp Краснодар 2016;http://img.youtube.com/vi/Szb5VHkjwO8/maxresdefault.jpg;2;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
3;Окружение для веб разработки с Docker за 20 минут (Алан Бондарчук)[DrupalCamp Краснодар 2016];http://img.youtube.com/vi/QilqJbpUAGk/maxresdefault.jpg;3;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
4;Универсальное платежное решение для интернет магазинов и сервисов (Станислав Ревва) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/MkG7QhYbdHE/maxresdefault.jpg;4;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
5;Значение контента в интернет продвижении (Юлия Кулиш)[DrupalCamp Краснодар 2016];http://img.youtube.com/vi/RVogZlHD_0k/maxresdefault.jpg;5;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
6;Drupal 8 for site builders (Андрей Юртаев) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/cxKo77mfPKY/maxresdefault.jpg;1;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
7;Современные средства аналитики. Настройка и использование колтрекинга на Drupal (Максим Хорошко) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/qVDOMIQhBDk/maxresdefault.jpg;2;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
8;Semantic Web и schema.org для интернет-магазинов (Сергей Синица) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/h1Fsyo1H-ns/maxresdefault.jpg;3;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
9;Тестирование производительности – модуль Performance Monitor (Агабеков Роман) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/B2foYminFj8/maxresdefault.jpg;4;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
10;Модули доставки и оплаты для интернет магазинов на Drupal (Андрей Тымчук) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/jeObAdUKnOQ/0.jpg;5;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
11;drupal.ru переходит в руки коммьюнити;https://cdn.pixabay.com/photo/2014/07/08/10/47/team-386673_960_720.jpg;1;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
12;"Модуль ""Архив блога"" (Drupal 7)";https://itcrowd72.ru/files/screenshots/blog_archive.png;2;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
13;"Модуль ""Версия для слабовидящих"" (Drupal 7)";https://cdn.pixabay.com/photo/2017/08/03/01/21/people-2574506_960_720.jpg;3;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
14;Оптимизация каталога интернет магазина для продвижения (Дарья Бочкарёва) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/tjPkObcccvk/maxresdefault.jpg;4;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
15;Аудит безопасности Drupal (Кочетов Дмитрий) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/0zw_ymDNFCA/maxresdefault.jpg;5;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
16;Реактивный фронтенд фреймворк для людей (Константин Комелин) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/vp2nMH_OpvU/maxresdefault.jpg;1;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
17;Практический обзор Google AMP (Accelerated Mobile Pages) в Drupal 8 (Богдан Романенко) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/p8I8AY2OEM8/maxresdefault.jpg;2;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
18;За 5 секунд до аварии (Андрей Левашов) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/UccMhQ4o1t0/maxresdefault.jpg;3;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
19;Как владельцам облачных сервисов выйти на рынок Drupal (Антон Шлома) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/SiuagKPB1J4/maxresdefault.jpg;4;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
20;Batch, Entity и другие вспомогательные инструменты для импорта данных в Drupal (Геворг Мкртчян) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/TEmaWBSs9Dw/maxresdefault.jpg;5;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
21;Как организовать REST API в Drupal 8 (Евгений Ильин) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/Fsa8Dwu4Ewo/maxresdefault.jpg;1;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
22;Промо-страница для Drupal;https://cdn.pixabay.com/photo/2016/03/09/15/29/laptop-1246672_960_720.jpg;2;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
23;Первое правило дизайна – никому не говорить о дизайне (Вадим Кендюхов) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/9WTMWqwvkbc/maxresdefault.jpg;3;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
24;Как работать с конфигурациями в Drupal 8 (Александр Дубовской) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/oWM5xgp8NyU/maxresdefault.jpg;4;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
25;Инструменты для SEO в CMS Drupal 7.x/8.x.x (Пётр Селфин) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/uEIrLr42OyE/maxresdefault.jpg;5;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
